,photographer,nationality,description,persons,tot_persons,organizations,tot_organizations,places,tot_places
2094,Sofia Valiente,USA,"Sofia Valiente received her BFA in art from Florida International University in Miami, Florida in 2012. She recently published her first photo book, Miracle Village, while at a residency at the photography department of Fabrica in Treviso, Italy. She is currently based in South Florida, USA, where she works simultaneously as a photographer at the Clewiston News and on her personal projects about the people of the Glades.",{'Sofia Valiente'},1,"{'the Clewiston News', 'Florida International University'}",2,"{'Miami', 'Fabrica', 'South Florida', 'USA', 'Florida', 'Miracle Village', 'Treviso', 'Italy'}",8
2095,Sofie Amalie Klougart,Denmark,"Sofie Amalie Klougart is currently living in Copenhagen, Denmark where she works as a freelance photographer. She was born in 1987 and grew up in Mols, Denmark. She studies Photojournalism at the Danish School of Media and Journalism and works mainly with portrait and documentary photography.",{'Sofie Amalie Klougart'},1,{'Mols'},1,"{'Copenhagen', 'Denmark'}",2
2096,Sophia Baraket,Tunisia,"Sophia Baraket (Tunisia) grew up in an image-oriented environment. At 18, she moved to Paris to study at an international photography school. During a work placement at Magnum Photos, she studied historic archives and got to know the work of great photographers. Returning to Tunis in 2005, she organized events and exhibitions in which she participated herself. In 2010, while in California, she took part in a project about the many ‘don’ts’ in American society, returning just in time to start covering the Tunisian revolution. She was the first Tunisian photographer to arrive at the border to document the exodus of refugees from Libya. In 2011, Baraket participated in a project by the street artist and photographer JR. She concentrates on documenting stories, as she did in projects on child mothers in Uganda and Western countries dumping their waste in North Africa. The latter was selected for the 2011 African Photography Biennial in Bamako, Mali.",{'Sophia Baraket'},1,"{'Baraket', 'Magnum Photos', 'JR'}",3,"{'North Africa', 'Paris', 'Uganda', 'Mali', 'California', 'Bamako', 'Libya', 'Tunisia'}",8
2097,Sophie Stafford,UK,"Sophie Stafford is editor of BBC Wildlife Magazine. Based in Bristol, the heart of natural-history filmmaking, she has worked on the award-winning magazine and website for eight years. After completing a degree in anthropology, Stafford moved to Oxford University's Wildlife Conservation Research Unit (WildCRU), where she studied badgers, among other mammals. Her career in publishing began when she became editor of the partwork magazine Wildlife of Britain in Hammersmith. Three years later, she joined the People's Trust for Endangered Species, a wildlife charity based in Battersea, London, as events coordinator and editor of its membership magazine. For the past six years, Stafford has judged the prestigious Wildlife Photographer of the Year competition, which is co-owned by BBC Wildlife and the Natural History Museum, London. She works closely with photographers from around the world to develop projects for the magazine and is regularly seen speaking about photography at the WildPhotos symposium. She is an affiliate of the International League of Conservation Photographers.","{'WildPhotos', 'Wildlife Photographer', 'Sophie Stafford'}",3,"{'BBC Wildlife', 'BBC Wildlife Magazine', ""the People's Trust for Endangered Species"", 'Wildlife of Britain', 'Stafford', 'the International League of Conservation Photographers', 'the Natural History Museum', 'Wildlife Conservation Research Unit', ""Oxford University's""}",9,"{'Hammersmith', 'Bristol', 'Battersea', 'London'}",4
2098,Søren Bidstrup,Denmark,"Søren Bidstrup was born in Hjørring, Denmark, in 1970.  Since graduating from the Danish School of Journalism in 1996, he has worked as a staff photographer at Berlingske, based in Copenhagen.",set(),0,"{'the Danish School of Journalism', 'Berlingske'}",2,"{'Hjørring', 'Copenhagen', 'Denmark'}",3
2099,Søren Lorenzen,Denmark,,set(),0,set(),0,set(),0
2100,Soren Pagter,Denmark,"Soren Pagter has been the head of the world-famous photojournalism education at the Danish School of Media and Journalism (DMJX) since 1998. He teaches both Danish and international students of Photojournalism. Through his job at DMJX he has conducted workshops at almost all the big newspapers in Denmark. Similarly, he has arranged and organized several international workshops in Armenia, Nepal, Russia and the Nordic countries. He has also been a part of several national and international juries, for example the POYI and the Freelens Award. Today, Pagter is still an active photojournalist and has been since 1988.",{'Soren Pagter'},1,"{'Pagter', 'Nordic'}",2,"{'Nepal', 'Russia', 'Armenia', 'Denmark'}",4
2101,Søren Rasmussen,USA,,set(),0,set(),0,set(),0
2102,Spencer Platt,USA,,set(),0,set(),0,set(),0
2103,Srdjan Ilic,Serbia,,set(),0,set(),0,set(),0
2104,Staffan Widstrand,Sweden,"Staffan Widstrand is a photographer and a founder and managing director of the mass communication initiative, Wild Wonders of Europe. After an early background in the metal industry, he moved on to become an officer in the Royal Swedish Tank Corps, before changing track to lead nature tours and becoming involved in nature tour production management. This was when his more serious photography career began, and he established his own photography business at the age of 25. Widstrand was soon hired as a picture editor by Natur & Kultur publishers in Stockholm, where he stayed for five years. In 1990, he left employed life and started off as a full-time independent professional photographer, writer, and activist, working mainly on long-term projects, which he set up and raised funds for himself or together with a few colleagues. Widstrand is a winner of numerous international photography and book awards, such as Wildlife Photographer of the Year, European Wildlife Photographer of the Year, Image of the Year in Sweden, and Emirates Wildlife Photographer of the Year. He is also the author of 15 books, a founder of the Swedish Ecotourism Association and its quality label ‘Nature’s Best’, a founder of the Swedish National Carnivore Information Centre, ‘The Big Five’, and a founding fellow of the International League of Conservation Photographers. His Wild Wonders of Europe initiative has to date reached an estimated 400 million people. Widstrand is also one of the founders of the pioneering conservation initiative Rewilding Europe, and of the upcoming Wild Wonders of China. In 2012, Widstrand was awarded the Gouden Wimpel – the highest award offered by the Dutch Postcode Lottery – for his services to nature. He has twice been a jury member in the Wildlife Photographer of the Year competition and, in 2011, was named as one of the world’s most influential nature photographers by Outdoor Photography magazine.","{'Widstrand', 'Wildlife Photographer', 'Emirates Wildlife Photographer', 'Staffan Widstrand'}",4,"{'the Royal Swedish Tank Corps', 'Wild Wonders', 'Natur & Kultur', 'Outdoor Photography', 'European Wildlife Photographer', 'the Swedish National Carnivore Information Centre', 'the Swedish Ecotourism Association', 'the Dutch Postcode Lottery', 'the International League of Conservation Photographers'}",9,"{'Sweden', 'Stockholm'}",2
2105,Stan Behal,Canada,,set(),0,set(),0,set(),0
2106,Stanislav Tereba,Czech Republic,,set(),0,set(),0,set(),0
2107,Stanislaw Jakubowski,Poland,,set(),0,set(),0,set(),0
2108,Stanley Forman,USA,,set(),0,set(),0,set(),0
2109,Stanley Greene,USA,,set(),0,set(),0,set(),0
2110,Stefan Boness,Germany,,set(),0,set(),0,set(),0
2111,Stefan Tihov,Bulgaria,"In 1972, Tihov was assigned as a special photoreporter to Vietnam, becoming the first Bulgarian photographer to cover the conflict. Tihov moved to Israel around 1990 where he lived in Tel Aviv and worked as a security guard. He died unexpectedly on 25 February 2010.",{'Tihov'},1,set(),0,"{'Israel', 'Vietnam', 'Tel Aviv'}",3
2112,Stefan Zaklin,USA,,set(),0,set(),0,set(),0
2113,Stefano Carini,Italy,"Born in 1985, in Torino, Italy, Stefano Carini studied photography in London and photojournalism in Denmark. Independent photographer and picture editor, he has worked in Amsterdam for Noor Images and World Press Photo. He is co-founder of the international network of visual storytellers, Panaut Collective. In May 2014, he became the editor-in-chief of the first Iraqi photo agency, Metrography.","{'Panaut Collective', 'Stefano Carini'}",2,{'Noor Images and World Press Photo'},1,"{'Torino', 'London', 'Amsterdam', 'Metrography', 'Italy', 'Denmark'}",6
2114,Stefano De Luigi,Italy,,set(),0,set(),0,set(),0
2115,Stefano Unterthiner,Italy,"Growing up in a small mountain village in northwest Italy, Stefano Unterthiner spent his early years photographing in the Gran Paradiso National Park and trekking around the beautiful mountains of the Aosta Valley region. He began serious photography at the age of 17, went on to study zoology and, in the fall of 2000, obtained a PhD from the University of Aberdeen in Scotland. After completing his studies, Unterthiner returned to Italy and began his career as a zoologist. But his camera was always at his side and it was not long before his hobby turned into an all-consuming lifestyle and profession. His first award was in 2000, when Unterthiner won the prestigious Mario Pastore prize for best Italian young environmental journalist. Unterthiner now travels regularly around the world in search of new subjects for his photo stories. He specializes in telling the life stories of animals, living in close contact with his chosen species for long periods. He also has a strong commitment to wildlife conservation and environmental issues, with a particular interest in the interactions between people and animals. For his first assignment for National Geographic, Unterthiner spent five months in the archipelago of Crozet shooting penguins for the story 'Every Bird a King' (September 2009). Widely published in magazines worldwide, he is the author of six photography books, the latest of which published at the end of 2010, following his assignment for National Geographic on whooper swans. Unterthiner is a regular prizewinner in the Wildlife Photographer of the Year competition and a member of the International League of Conservation Photographers (ILCP).","{'Unterthiner', 'Mario Pastore'}",2,"{'National Geographic', 'the University of Aberdeen', 'the International League of Conservation Photographers', 'Stefano Unterthiner'}",4,"{'northwest Italy', 'Italy', 'Scotland'}",3
2116,Stefen Chow,Malaysia,"Stefen Chow’s clients include The Smithsonian, Time magazine, Geo, The Guardian, and various commercial companies. He won the grand prize at the Arles Photography Open Salon for the Poverty Line, a photo project on what it means to be poor done in conjunction with economist Lin Hui-Yi, and was awarded an artist’s residency during the Les Rencontres d’Arles. The project has been exhibited at the Three Shadows gallery in Beijing, China, and galleries in Singapore; Penang, Malaysia, and Cologne, Germany, and has been featured beyond photography-oriented press, including NPR, Foreign Policy, Xinhua and Singapore Business Times. The project was also presented at TED@ Shanghai, a global talent search by TED in 2012. In addition, Chow’s work has received awards from PDN, Billboard, International Photo Awards, and Photographie de la Paris. He is a judge for the Tokyo-based Nikon Photo Contest. At the age of 25, Chow climbed to the summit of Mount Everest, and is a member of the Explorers Club. Chow lives in Beijing, China, and Singapore.","{'Stefen Chow’s', 'Lin Hui-Yi', 'Photographie de la Paris'}",3,"{'Xinhua', 'Chow', 'PDN', 'Guardian', 'NPR', 'Billboard, International Photo Awards', 'Singapore Business Times', 'Nikon Photo Contest', 'Smithsonian', 'the Explorers Club', 'Time', 'TED@ Shanghai', 'TED'}",13,"{'Cologne', 'Germany', 'Beijing', 'China', 'Singapore', 'Penang', 'Tokyo', 'Malaysia'}",8
